address,categories,id,lat,long,name,neighborhood
"Washington, D.C.",Gym,4e1896d9fa7619464592c095,38.89962135471581,-76.97108228681111,Spingarn High School Gym,Langston
2301 Benning Rd NE,Fried Chicken Joint,4e4dfe54bd4101d0d79fcd42,38.89810201224529,-76.97264619880151,Popeye's Chicken & Biscuits,Langston
Anacostia River,Trail,4dc425faae608779d119e88f,38.89882450556477,-76.96968149968637,United States National Arboretum-- Anacostia River Gate,Langston
2101 Benning Rd NE (21st st NE),Café,4c8d1904c37a6dcb2113fd7a,38.898097,-76.97392711666667,RoadSide Cafe,Langston
"Washington, D.C.",Hostel,4dbd8c13a86e0e98a1fd2d55,38.897923215795956,-76.97149518031387,Capitol City,Langston
1900 Benning Rd. NE,Bus Station,4b8521c5f964a520564d31e3,38.89891928967183,-76.97621836854569,WMATA Bus Stop 1001081,Langston
Benning Rd NE (at Oklahoma Ave NE),Light Rail Station,57106f8a498eac8ccb314884,38.897826313298474,-76.97004694346703,DC Streetcar - Oklahoma Ave/Benning Rd NE,Langston
2651 Benning Rd NE,Intersection,4da7520f43a12d0c2636ba2f,38.89781892299652,-76.97002094,26 & Benning,Langston
Benning Rd NE (at 19th St NE),Light Rail Station,57106ddc498e183b9ebb4bb3,38.898915447469776,-76.97643756866454,DC Streetcar - 19th St/Benning Rd NE,Langston
1818 Benning Rd NE,Liquor Store,4eaee3e2c2ee782cf46a703e,38.899149240664066,-76.97673797607422,SYLVIA LIQUORS,Langston
1250 Bladensburg Rd NE (at 17th St NE),Diner,4ec08950b8f7963bce0e44fb,38.90678675746735,-76.97946041822433,Denny's,Langston
1251 Bladensburg Rd NE,American Restaurant,4da723954b22cb9c5c1d0dae,38.90708828129943,-76.9786157907669,Eddies Carryout,Langston
414 53rd St NE #145,Carpet Store,5ca45030ba57b4002cd34caa,38.90562051859456,-76.97507198899983,Universal Carpet Cleaning & Upholstery,Langston
1518 Benning Rd NE (Bladensburg Road N.E.),Sporting Goods Shop,4eca6e9749010f98cfee2aaf,38.90001204051204,-76.98102943883043,Modell's Sporting Goods,Langston
"Washington, D.C. 20002",Farmers Market,50b7b828e4b03e5877708056,38.896323767432385,-76.96878138701696,Open-Air Farmers Market,Langston
"Washington, D.C. 20004",Garden,4f30441be4b0d411bdfa5eb9,38.90691938015771,-76.96925394699686,Grove Of State Trees @ National Arboritum,Langston
500 19th St NE,Park,4bb1225af964a520357d3ce3,38.89798354504786,-76.9809921952237,Rosedale Recreation Center,Langston
"Washington, D.C. 20002",Soccer Field,4ce4549f42f0b1f7f4b08cce,38.895331297065674,-76.96968149968636,RFK Auxiliary Field,Langston
"1536 Benning Rd NE, Washington, DC 20002",Optical Shop,4ee255e329c20563bbe40389,38.89993428077456,-76.98079734318729,EyeSite,Langston
845 Bladensburg Rd NE (at Morse St. NE),Pharmacy,4b9c2108f964a520134d36e3,38.901238485290456,-76.98229440129468,CVS pharmacy,Langston
D St NE (at 21st St NE),Park,5b3ab20275dcb7002cc25621,38.894493,-76.974871,Panda Park/Triangle Park,Langston
"Washington, D.C. 20002",Golf Driving Range,5012cf8be4b09075802fea5d,38.89789988559514,-76.96409506810892,Langston Driving Range,Langston
1508 Benning Rd NE,Chinese Restaurant,4bf9af275317a593a2b4017f,38.89993398241243,-76.98157140429666,China Wok,Langston
1601 Benning Rd NE,Chinese Restaurant,4c5a23adec2520a197fc5012,38.899897,-76.98163578333333,China House,Langston
"Washington, D.C.",Garden,4db7049ef7b121c29f7ecaf8,38.90868112152886,-76.97141419786762,Azalea Collection @ U.S. National Aboretum,Langston
"Washington, D.C. 20002",Park,4f61fd567beb5f6a86a93834,38.89484617096399,-76.96735244450893,Kingman and Heritage Islands Park,Langston
"Washington, D.C.",River,516748dee4b0cb935345c271,38.89955,-76.962609,Anacostia River,Langston
830 Bladensburg Rd NE,Liquor Store,4de407ed18385df2b04a615b,38.90158566666667,-76.98273933333333,Roses Liquor,Langston
101 Constitution Ave NW,Steakhouse,4a6f8e4af964a52080d61fe3,38.892812935519366,-77.01239007265724,Charlie Palmer Steak,Downtown East
"Washington, D.C.",Gift Shop,51ec3494498e89994666739b,38.89765241014926,-77.01767358008435,National Building Museum Gift Shop,Downtown East
400 Block of E St NW (E Street NW between 4th & 5th St NW),Monument / Landmark,4abbf425f964a520a58520e3,38.89670272376477,-77.01756119728088,National Law Enforcement Officers Memorial,Downtown East
415 New Jersey Ave NW (btwn D & E Sts. NW),Southern / Soul Food Restaurant,4a954a29f964a520de2220e3,38.8954806,-77.01080069999999,Art and Soul,Downtown East
